"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15808","OrangeHRM Login Test @smoke","chromium","2026-06-21","passed","2026-06-21","","endtoend.spec.ts","",""
"","12161","OrangeHRM Login Test @smoke","webkit","2026-06-21","passed","2026-06-21","","endtoend.spec.ts","",""
"","0","Demo failure test @demo","webkit","2026-06-21","skipped","2026-06-21","","endtoend.spec.ts","",""
"","20","Demo failure test @demo","chromium","2026-06-21","skipped","2026-06-21","","endtoend.spec.ts","",""
"","0","Demo failure test @demo","firefox","2026-06-21","skipped","2026-06-21","","endtoend.spec.ts","",""
"","12694","OrangeHRM Login Test @smoke","firefox","2026-06-21","passed","2026-06-21","","endtoend.spec.ts","",""
